HitId,WorkerId,Status,AcceptTime,SubmitTime,Experiment,Education,Gender,GraphFamiliarity,Age,risk1,risk2,risk3,risk4,risk5,risk6,riskAversion
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A3GPTSDDHJ2DBV,Approved,Fri Sep 15 07:11:56 PDT 2017,Fri Sep 15 08:34:28 PDT 2017,Exp1,College degree,Female,1,29,-6,2,2,4,2,2,6
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A2W6APZ4SBCJXA,Approved,Fri Sep 15 07:56:15 PDT 2017,Fri Sep 15 08:43:17 PDT 2017,Exp1,High school degree,Male,0,22,2,2,2,2,-6,2,4
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A1945USNZHTROX,Approved,Fri Sep 15 07:11:57 PDT 2017,Fri Sep 15 08:46:38 PDT 2017,Exp1,College degree,Male,2,37,2,3,4,3,-5,2,9
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,APGX2WZ59OWDN,Approved,Fri Sep 15 07:11:57 PDT 2017,Fri Sep 15 08:58:35 PDT 2017,Exp1,College degree,Female,2,23,4,5,5,4,-2,6,22
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A2H41RJTXE9I90,Approved,Fri Sep 15 07:58:56 PDT 2017,Fri Sep 15 09:29:24 PDT 2017,Exp1,College degree,Male,2,31,-4,4,5,6,6,3,20
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A11W7R2O4RQSSS,Approved,Fri Sep 15 09:11:53 PDT 2017,Fri Sep 15 09:30:16 PDT 2017,Exp1,College degree,Female,0,24,2,2,3,4,-6,3,8
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A3K2VLUT3MU9H2,Approved,Fri Sep 15 09:12:06 PDT 2017,Fri Sep 15 09:32:02 PDT 2017,Exp1,Some college,Male,0,26,5,6,6,5,-3,5,24
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,AQVXVMX61864S,Approved,Fri Sep 15 09:12:04 PDT 2017,Fri Sep 15 09:34:18 PDT 2017,Exp1,Some college,Male,3,26,3,5,5,3,-5,4,15
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A2KPT0PEUEXCC4,Approved,Fri Sep 15 09:08:56 PDT 2017,Fri Sep 15 09:34:37 PDT 2017,Exp1,High school degree,Male,1,42,-4,7,6,6,7,6,28
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A2FE6HDHREXIJ5,Approved,Fri Sep 15 09:05:12 PDT 2017,Fri Sep 15 09:34:58 PDT 2017,Exp1,Some college,Female,2,34,-4,5,7,5,6,5,24
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A2UUKFTD0VUX2S,Approved,Fri Sep 15 09:12:06 PDT 2017,Fri Sep 15 10:17:38 PDT 2017,Exp1,College degree,Male,3,32,5,6,6,5,-4,4,22
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A1XB03X4J35ATE,Approved,Fri Sep 15 09:12:14 PDT 2017,Fri Sep 15 10:23:48 PDT 2017,Exp1,College degree,Female,2,33,-5,5,4,5,5,5,19
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A1MQ9B05ZMM4YI,Approved,Fri Sep 15 09:43:41 PDT 2017,Fri Sep 15 10:53:08 PDT 2017,Exp1,Some college,Female,2,38,-4,7,7,7,7,7,31
3HUR21WDDUQ3ZM1BI8GBOK70PXTXYU,A1DJBDVXF6Z1KK,Approved,Fri Sep 15 12:55:06 PDT 2017,Fri Sep 15 13:34:39 PDT 2017,Exp1,Some college,Female,2,26,-7,6,3,5,6,4,17
