workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
12,One,45,25588,0.8,0.6,discrete,juxtaposed,no,0.8,0.6,0,0,0,1,discretejuxtaposed
12,One,55,6723,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
12,One,53,15290,0.1,0.4,discrete,arc,no,0.1,0.4,0,0,0,1,discretearc
12,One,56,14248,0.3,0.6,discrete,arc,yes,0.3,0.6,0,0,0,1,vsupdiscretearc
12,One,57,25883,0.8,0.4,discrete,square,no,0.8,0.6,0,-0.2,-0.2,0,discretesquare
12,One,60,16281,0.4,0.8,discrete,square,yes,0.4,0.8,0,0,0,1,vsupdiscretesquare
12,One,61,28995,0.8,0.6,continuous,juxtaposed,no,0.8,0.6,0,0,0,1,continuousjuxtaposed
12,One,54,20863,0.4,0.4,discrete,square,yes,0.4,0.4,0,0,0,1,vsupdiscretesquare
12,One,58,15787,0.45,0.1,discrete,arc,yes,0.45,0.1,0,0,0,1,vsupdiscretearc
12,One,44,10940,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
12,One,62,25011,0.95,0.1,continuous,juxtaposed,no,0.95,0.1,0,0,0,1,continuousjuxtaposed
12,One,63,22542,0.2,0.1,discrete,arc,yes,0.2,0.1,0,0,0,1,vsupdiscretearc
12,One,64,22855,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
13,One,2,18242,0.45,0.1,continuous,juxtaposed,no,0.45,0.1,0,0,0,1,continuousjuxtaposed
13,One,1,15379,0.7,0.4,continuous,arc,no,0.7,0.1,0,0.3,0.3,0,continuousarc
13,One,6,6464,0.2,0.1,discrete,square,no,0.2,0.1,0,0,0,1,discretesquare
13,One,4,38007,0.4,0.4,discrete,arc,yes,0.3,0.6,0.1,-0.2,-0.1,0,vsupdiscretearc
13,One,7,6530,0.8,0.4,discrete,arc,yes,0.8,0.6,0,-0.2,-0.2,0,vsupdiscretearc
13,One,5,10184,0.4,0.8,discrete,square,yes,0.95,0.1,-0.55,0.7,0.15,0,vsupdiscretesquare
12,One,49,19261,0.4,0.8,discrete,square,yes,0.4,0.8,0,0,0,1,vsupdiscretesquare
13,One,3,9354,0.7,0.1,continuous,juxtaposed,no,0.7,0.1,0,0,0,1,continuousjuxtaposed
12,One,29,20183,0.8,0.6,discrete,juxtaposed,no,0.8,0.6,0,0,0,1,discretejuxtaposed
13,One,10,11552,0.1,0.4,continuous,arc,no,0.4,0.4,-0.3,0,-0.3,0,continuousarc
13,One,9,11458,0.95,0.1,continuous,arc,no,0.95,0.1,0,0,0,1,continuousarc
13,One,12,7690,0.4,0.8,continuous,square,no,0.8,0.4,-0.4,0.4,0,1,continuoussquare
13,One,8,8255,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
13,One,14,5650,0.3,0.6,discrete,square,yes,0.1,0.4,0.2,0.2,0.4,0,vsupdiscretesquare
