workerId,task,index,rt,v,u,type,ramp,size,qShort,vError,uError,error
21,One,4,8346,0,1,juxta,Lightness,8,0u1v,1,1,2
21,One,2,13725,0,1,juxta,Lightness,8,0u0v,0,1,1
21,One,3,5984,0,0,juxta,Lightness,4,1uav,0,1,1
21,One,5,6610,0.64537254709073,0.52479787761947,vsup,Lightness,4,0u0v,0.64537254709073,0.52479787761947,1.1701704247102
21,One,6,8008,1,1,juxta,Lightness,4,0u1v,0,1,1
21,One,7,10069,0,1,2D,Lightness,4,0u0v,0,1,1
21,One,8,12957,0,0,vsup,Lightness,8,1uav,0,1,1
21,One,9,6916,1,1,2D,Lightness,8,0u1v,0,1,1
21,One,10,9102,0.61455895452944,0.59783665052952,vsup,Lightness,4,0u1v,0.38544104547056,0.59783665052952,0.98327769600007
21,One,11,4810,0,1,juxta,Lightness,4,0u0v,0,1,1
21,One,13,3854,0,0,2D,Lightness,4,1uav,0,1,1
21,One,14,5413,0,1,2D,Lightness,8,0u0v,0,1,1
21,One,12,2756,0,0,vsup,Lightness,4,1uav,0,1,1
21,One,15,6770,1,1,juxta,Lightness,8,1uav,0,0,0
21,One,16,3709,1,0,vsup,Lightness,8,0u1v,0,0,0
21,One,17,6561,0.39032532958059,0.51497299003784,2D,Lightness,4,0u1v,0.60967467041941,0.51497299003784,1.1246476604572
21,One,18,2833,1,0,2D,Lightness,8,1uav,0,1,1
22,One,2,7082,0,0,vsup,Lightness,8,0u0v,0,0,0
22,One,1,7979,1,0,2D,Lightness,4,0u1v,0,0,0
22,One,3,7145,0,0,vsup,Lightness,4,0u0v,0,0,0
22,One,4,10358,1,1,2D,Lightness,4,1uav,0,0,0
22,One,5,12108,1,0,juxta,Lightness,8,0u1v,0,0,0
22,One,7,20921,1,1,vsup,Lightness,8,1uav,0,0,0
22,One,6,7999,0,0,juxta,Lightness,4,0u0v,0,0,0
22,One,8,8983,1,0,juxta,Lightness,4,0u1v,0,0,0
22,One,10,17118,0,0,juxta,Lightness,8,0u0v,0,0,0
22,One,9,6015,0,0,2D,Lightness,4,0u0v,0,0,0
22,One,11,6927,1,1,2D,Lightness,8,1uav,0,0,0
22,One,14,9085,1,1,juxta,Lightness,8,1uav,0,0,0
22,One,13,4267,1,1,vsup,Lightness,4,1uav,0,0,0
22,One,15,18770,0.4775685295124,0.13780982519003,vsup,Lightness,4,0u1v,0.5224314704876,0.13780982519003,0.66024129567764
22,One,16,9540,0,1,2D,Lightness,8,0u0v,0,1,1
22,One,12,14133,1,1,vsup,Lightness,8,0u1v,0,1,1
22,One,17,12102,1,0,2D,Lightness,8,0u1v,0,0,0
22,One,18,10132,1,1,juxta,Lightness,4,1uav,0,0,0
23,One,2,12123,0.59725176059327,1,vsup,Lightness,4,1uav,0,0,0
23,One,1,37605,0,0,juxta,Lightness,4,0u0v,0,0,0
23,One,3,1420346,0.36539947361586,0.62614958509797,juxta,Lightness,8,1uav,0,0.37385041490203,0.37385041490203
23,One,4,618530,1,0,juxta,Lightness,4,0u1v,0,0,0
23,One,5,32206,1,1,2D,Lightness,4,1uav,0,0,0
23,One,6,12011,1,0,vsup,Lightness,8,0u1v,0,0,0
23,One,7,44599,0.92875964402141,0.35120521873395,juxta,Lightness,8,0u1v,0.071240355978586,0.35120521873395,0.42244557471254
23,One,8,28837,0,0,vsup,Lightness,4,0u0v,0,0,0
23,One,9,19726,0,0,vsup,Lightness,8,0u0v,0,0,0
23,One,10,27036,1,0,2D,Lightness,8,0u0v,1,0,1
23,One,11,46214,0,0,2D,Lightness,4,0u0v,0,0,0
23,One,12,18981,0.37241856693435,1,juxta,Lightness,4,1uav,0,0,0
23,One,13,9992,1,1,2D,Lightness,8,1uav,0,0,0
23,One,14,7398,1,0,2D,Lightness,4,0u1v,0,0,0
23,One,16,16817,1,0,2D,Lightness,8,0u1v,0,0,0
23,One,15,61713,0,0,juxta,Lightness,8,0u0v,0,0,0
23,One,17,39419,1,0,vsup,Lightness,4,0u1v,0,0,0
23,One,18,69083,0,1,vsup,Lightness,8,1uav,0,0,0
0,One,4,2776,0.5159096015606,1,2D,Lightness,8,0u0v,0.5159096015606,1,1.5159096015606
0,One,6,2261,0,1,vsup,Lightness,8,1uav,0,0,0
0,One,3,2095,0,1,vsup,Lightness,4,0u0v,0,1,1
0,One,7,5631,0.74324454365847,0.56986441666011,juxta,Lightness,8,0u1v,0.25675545634153,0.56986441666011,0.82661987300163
0,One,1,2907,0,1,vsup,Lightness,4,1uav,0,0,0
0,One,2,4546,1,1,2D,Lightness,8,1uav,0,0,0
0,One,5,7941,0.70342552056381,0.60449360017626,juxta,Lightness,4,1uav,0,0.39550639982374,0.39550639982374
0,One,10,1417,0,1,vsup,Lightness,8,0u0v,0,1,1
0,One,12,2027,0.6782924712511,0.60308019140279,juxta,Lightness,8,1uav,0,0.39691980859721,0.39691980859721
